date,location,scrape_date,team_1,team_2,rank_1,rank_2,elo_1,elo_2,elo_diff_1,team_1_w,draw,team_2_w,team_1_odds,draw_odds,team_2_odds
2024-10-15,World Cup qualifier in Colombia,2024-07-06,Colombia,Chile,4,40,2030,1723,307,0.7140319715808171,0.18650088809946713,0.0994671403197158,1.4004975124378107,5.361904761904762,10.053571428571429
2024-10-15,World Cup qualifier in Paraguay,2024-07-06,Paraguay,Venezuela,49,18,1661,1820,-159,0.1875,0.25646551724137934,0.5560344827586207,5.333333333333333,3.8991596638655457,1.7984496124031009
2024-10-15,World Cup qualifier in Uruguay,2024-07-06,Uruguay,Ecuador,5,16,2027,1871,156,0.5538954108858057,0.25933831376734257,0.18676627534685167,1.8053949903660886,3.8559670781893005,5.354285714285714
2024-10-15,CONCACAF League A in Costa Rica,2024-07-06,Costa Rica,Guatemala,49,86,1661,1485,176,0.5538954108858057,0.25933831376734257,0.18676627534685167,1.8053949903660886,3.8559670781893005,5.354285714285714
2024-10-15,CONCACAF League A in Martinique,2024-07-06,Martinique,Guadeloupe,95,130,1437,1327,110,0.47880539499036606,0.28901734104046245,0.2321772639691715,2.0885311871227366,3.4599999999999995,4.3070539419087135
2024-10-15,CONCACAF League A in Suriname,2024-07-06,Suriname,Guyana,135,146,1319,1274,45,0.376139188069594,0.3115161557580779,0.3123446561723281,2.6585903083700444,3.210106382978723,3.2015915119363396
2024-10-15,CONCACAF League B in Bermuda,2024-07-06,Bermuda,Dominica,168,186,1126,1008,118,0.47880539499036606,0.28901734104046245,0.2321772639691715,2.0885311871227366,3.4599999999999995,4.3070539419087135
2024-10-15,CONCACAF League B in the Dominican Rep,2024-07-06,Dominican Republic,Antigua and Barbuda,159,190,1208,988,220,0.6096605744125326,0.2362924281984334,0.15404699738903394,1.640256959314775,4.232044198895028,6.491525423728814
2024-10-15,CONCACAF League C in Barbados,2024-07-06,Barbados,Bahamas,195,209,930,810,120,0.47880539499036606,0.28901734104046245,0.2321772639691715,2.0885311871227366,3.4599999999999995,4.3070539419087135
2024-10-15,CONCACAF League C in Belize,2024-07-06,Belize,Turks and Caicos,182,219,1039,690,349,0.7140319715808171,0.18650088809946713,0.0994671403197158,1.4004975124378107,5.361904761904762,10.053571428571429
2024-10-15,CONCACAF League C in St Kitts and Nevis,2024-07-06,Saint Kitts and Nevis,Cayman Islands,176,207,1082,825,257,0.6589861751152074,0.22580645161290322,0.1152073732718894,1.5174825174825175,4.428571428571429,8.68
2024-11-14,World Cup qualifier in Australia,2024-07-06,Australia,Saudi Arabia,27,63,1774,1587,187,0.5538954108858057,0.25933831376734257,0.18676627534685167,1.8053949903660886,3.8559670781893005,5.354285714285714
2024-11-14,World Cup qualifier in Bahrain,2024-07-06,Bahrain,China,92,107,1453,1396,57,0.4188963210702341,0.2842809364548495,0.2968227424749164,2.3872255489021956,3.51764705882353,3.3690140845070418
2024-11-14,World Cup qualifier in Indonesia,2024-07-06,Indonesia,Japan,129,17,1330,1856,-526,0.041025641025641026,0.06153846153846154,0.8974358974358975,24.375,16.25,1.1142857142857143
2024-11-14,World Cup qualifier in Iraq,2024-07-06,Iraq,Jordan,51,53,1660,1635,25,0.376139188069594,0.3115161557580779,0.3123446561723281,2.6585903083700444,3.210106382978723,3.2015915119363396
2024-11-14,World Cup qualifier in Kuwait,2024-07-06,Kuwait,South Korea,127,35,1334,1738,-404,0.04,0.18769230769230769,0.7723076923076924,25.0,5.327868852459017,1.294820717131474
2024-11-14,World Cup qualifier in North Korea,2024-07-06,North Korea,Iran,108,21,1395,1807,-412,0.04,0.18769230769230769,0.7723076923076924,25.0,5.327868852459017,1.294820717131474
2024-11-14,World Cup qualifier in Oman,2024-07-06,Oman,Palestine,76,103,1529,1406,123,0.47880539499036606,0.28901734104046245,0.2321772639691715,2.0885311871227366,3.4599999999999995,4.3070539419087135
2024-11-14,World Cup qualifier in Qatar,2024-07-06,Qatar,Uzbekistan,55,46,1631,1680,-49,0.3103161397670549,0.3136439267886855,0.37603993344425957,3.222520107238606,3.1883289124668437,2.65929203539823
2024-11-14,World Cup qualifier in UAE,2024-07-06,United Arab Emirates,Kyrgyzstan,83,145,1501,1279,222,0.6096605744125326,0.2362924281984334,0.15404699738903394,1.640256959314775,4.232044198895028,6.491525423728814
2024-11-14,European League A in Belgium,2024-07-06,Belgium,Italy,10,14,1934,1891,43,0.376139188069594,0.3115161557580779,0.3123446561723281,2.6585903083700444,3.210106382978723,3.2015915119363396
2024-11-14,European League A in France,2024-07-06,France,Israel,3,66,2069,1567,502,0.8936170212765957,0.06382978723404255,0.0425531914893617,1.119047619047619,15.666666666666668,23.5
2024-11-14,European League B in Greece,2024-07-06,Greece,England,34,8,1739,1971,-232,0.15625,0.23567708333333334,0.6080729166666666,6.4,4.2430939226519335,1.644539614561028
2024-11-14,European League B in Ireland,2024-07-06,Ireland,Finland,59,57,1619,1627,-8,0.3103161397670549,0.3136439267886855,0.37603993344425957,3.222520107238606,3.1883289124668437,2.65929203539823
2024-11-14,European League B in Kazakhstan,2024-07-06,Kazakhstan,Austria,92,15,1453,1876,-423,0.04,0.18769230769230769,0.7723076923076924,25.0,5.327868852459017,1.294820717131474
2024-11-14,European League B in Slovenia,2024-07-06,Slovenia,Norway,29,37,1771,1734,37,0.376139188069594,0.3115161557580779,0.3123446561723281,2.6585903083700444,3.210106382978723,3.2015915119363396
2024-11-14,European League C in Armenia,2024-07-06,Armenia,Faroe Islands,90,152,1462,1246,216,0.6096605744125326,0.2362924281984334,0.15404699738903394,1.640256959314775,4.232044198895028,6.491525423728814
2024-11-14,European League C in North Macedonia,2024-07-06,North Macedonia,Latvia,74,134,1547,1321,226,0.6096605744125326,0.2362924281984334,0.15404699738903394,1.640256959314775,4.232044198895028,6.491525423728814
2024-11-14,Friendly in Malta,2024-07-06,Malta,Liechtenstein,151,191,1257,968,289,0.6589861751152074,0.22580645161290322,0.1152073732718894,1.5174825174825175,4.428571428571429,8.68
2024-11-14,World Cup qualifier in Ecuador,2024-07-06,Ecuador,Bolivia,16,73,1871,1551,320,0.7140319715808171,0.18650088809946713,0.0994671403197158,1.4004975124378107,5.361904761904762,10.053571428571429
2024-11-14,World Cup qualifier in Paraguay,2024-07-06,Paraguay,Argentina,49,1,1661,2142,-481,0.02608695652173913,0.13478260869565217,0.8391304347826087,38.333333333333336,7.419354838709677,1.1917098445595855
2024-11-14,World Cup qualifier in Peru,2024-07-06,Peru,Chile,41,40,1710,1723,-13,0.3103161397670549,0.3136439267886855,0.37603993344425957,3.222520107238606,3.1883289124668437,2.65929203539823
2024-11-14,World Cup qualifier in Uruguay,2024-07-06,Uruguay,Colombia,5,4,2027,2030,-3,0.3103161397670549,0.3136439267886855,0.37603993344425957,3.222520107238606,3.1883289124668437,2.65929203539823
2024-11-14,World Cup qualifier in Venezuela,2024-07-06,Venezuela,Brazil,18,6,1820,2021,-201,0.15625,0.23567708333333334,0.6080729166666666,6.4,4.2430939226519335,1.644539614561028
2024-11-14,CONCACAF League B in Bonaire,2024-07-06,Bonaire,El Salvador,206,110,827,1389,-562,0.058333333333333334,0.09166666666666666,0.85,17.142857142857142,10.90909090909091,1.1764705882352942
2024-11-14,CONCACAF League B in Montserrat,2024-07-06,Montserrat,St Vincent/Gren,185,178,1015,1071,-56,0.2950955943474647,0.28345802161263506,0.42144638403990026,3.388732394366197,3.5278592375366573,2.3727810650887573
2024-11-15,European League A in Denmark,2024-07-06,Denmark,Spain,19,2,1816,2112,-296,0.1140215716486903,0.23112480739599384,0.6548536209553159,8.77027027027027,4.326666666666667,1.5270588235294118
2024-11-15,European League A in Portugal,2024-07-06,Portugal,Poland,9,39,1960,1730,230,0.6096605744125326,0.2362924281984334,0.15404699738903394,1.640256959314775,4.232044198895028,6.491525423728814
2024-11-15,European League A in Scotland,2024-07-06,Scotland,Croatia,36,12,1735,1916,-181,0.1875,0.25646551724137934,0.5560344827586207,5.333333333333333,3.8991596638655457,1.7984496124031009
2024-11-15,European League A in Switzerland,2024-07-06,Switzerland,Serbia,13,24,1904,1789,115,0.47880539499036606,0.28901734104046245,0.2321772639691715,2.0885311871227366,3.4599999999999995,4.3070539419087135
2024-11-15,European League C in Cyprus,2024-07-06,Cyprus,Lithuania,138,117,1315,1356,-41,0.3103161397670549,0.3136439267886855,0.37603993344425957,3.222520107238606,3.1883289124668437,2.65929203539823
2024-11-15,European League C in Luxembourg,2024-07-06,Luxembourg,Bulgaria,79,85,1511,1488,23,0.376139188069594,0.3115161557580779,0.3123446561723281,2.6585903083700444,3.210106382978723,3.2015915119363396
2024-11-15,European League C in Northern Ireland,2024-07-06,Northern Ireland,Belarus,78,96,1518,1433,85,0.4188963210702341,0.2842809364548495,0.2968227424749164,2.3872255489021956,3.51764705882353,3.3690140845070418
