date,location,game,team_1,draw,team_2
2024-09-10,CONCACAF League A in Trinidad & Tobago,Trinidad and Tobago vs French Guiana,2.09,3.46,4.31
2024-09-10,CONCACAF League B in Antigua & Barbuda,Antigua and Barbuda vs Bermuda,4.36,3.43,2.09
2024-09-10,CONCACAF League B in the Dominican Rep,Dominican Republic vs Dominica,1.64,4.23,6.49
2024-09-10,CONCACAF League C in Barbados,Barbados vs US Virgin Islands,1.4,5.36,10.05
2024-09-10,CONCACAF League C in Belize,Belize vs Anguilla,1.3,5.37,23.0
2024-09-10,CONCACAF League C in St Kitts and Nevis,Saint Kitts and Nevis vs British Virgin Islands,1.3,5.37,23.0
2024-09-14,SE Asian Champ qual in Brunei,Brunei vs East Timor,2.66,3.21,3.2
2024-09-21,SE Asian Champ qual in East Timor,East Timor vs Brunei,3.22,3.19,2.66
2024-10-09,Friendly tournament in Vietnam,Vietnam vs India,2.39,3.52,3.37
2024-10-09,CONCACAF League C in the Bahamas,Bahamas vs US Virgin Islands,1.81,3.86,5.35
2024-10-09,CONCACAF League C in the Cayman Islands,Cayman Islands vs British Virgin Islands,1.81,3.86,5.35
2024-10-09,CONCACAF League C in Turks and Caicos,Turks and Caicos vs Anguilla,2.39,3.52,3.37
2024-10-10,World Cup qualifier in Australia,Australia vs China,1.33,6.0,12.32
2024-10-10,World Cup qualifier in Bahrain,Bahrain vs Indonesia,2.09,3.46,4.31
2024-10-10,World Cup qualifier in Iraq,Iraq vs Palestine,1.52,4.43,8.68
2024-10-10,World Cup qualifier in Jordan,Jordan vs South Korea,4.36,3.43,2.09
2024-10-10,World Cup qualifier in Oman,Oman vs Kuwait,1.81,3.86,5.35
2024-10-10,World Cup qualifier in Qatar,Qatar vs Kyrgyzstan,1.33,6.0,12.32
2024-10-10,World Cup qualifier in Saudi Arabia,Saudi Arabia vs Japan,8.77,4.33,1.53
2024-10-10,World Cup qualifier in UAE,United Arab Emirates vs North Korea,2.09,3.46,4.31
2024-10-10,World Cup qualifier in Uzbekistan,Uzbekistan vs Iran,4.36,3.43,2.09
2024-10-10,European League A in Israel,Israel vs France,38.33,7.42,1.19
2024-10-10,European League A in Italy,Italy vs Belgium,3.22,3.19,2.66
2024-10-10,European League B in Austria,Austria vs Kazakhstan,1.3,5.37,23.0
2024-10-10,European League B in England,England vs Greece,1.64,4.23,6.49
2024-10-10,European League B in Finland,Finland vs Ireland,2.66,3.21,3.2
2024-10-10,European League B in Norway,Norway vs Slovenia,3.22,3.19,2.66
2024-10-10,European League C in the Faroe Islands,Faroe Islands vs Armenia,6.4,4.24,1.64
2024-10-10,European League C in Latvia,Latvia vs North Macedonia,6.4,4.24,1.64
2024-10-10,European League D in Gibraltar,Gibraltar vs San Marino,1.52,4.43,8.68
2024-10-10,European League D in Moldova,Moldova vs Andorra,1.64,4.23,6.49
2024-10-10,Friendly in Liechtenstein,Liechtenstein vs Hong Kong,3.39,3.53,2.37
2024-10-10,World Cup qualifier in Bolivia,Bolivia vs Colombia,38.33,7.42,1.19
2024-10-10,World Cup qualifier in Chile,Chile vs Brazil,8.77,4.33,1.53
2024-10-10,World Cup qualifier in Ecuador,Ecuador vs Paraguay,1.64,4.23,6.49
2024-10-10,World Cup qualifier in Peru,Peru vs Uruguay,9.88,5.57,1.39
2024-10-10,World Cup qualifier in Venezuela,Venezuela vs Argentina,9.88,5.57,1.39
2024-10-10,CONCACAF League A in Cuba,Cuba vs Trinidad and Tobago,4.36,3.43,2.09
2024-10-10,CONCACAF League A in French Guiana,French Guiana vs Honduras,6.4,4.24,1.64
2024-10-10,CONCACAF League A in Nicaragua,Nicaragua vs Jamaica,6.4,4.24,1.64
2024-10-10,CONCACAF League B in Bonaire,Bonaire vs Montserrat,5.33,3.9,1.8
2024-10-10,CONCACAF League B in St Vincent/Gren,St Vincent/Gren vs El Salvador,9.88,5.57,1.39
2024-10-11,European League A in Bosnia/Herzeg,Bosnia/Herzegovina vs Germany,38.33,7.42,1.19
2024-10-11,European League A in Hungary,Hungary vs Netherlands,5.33,3.9,1.8
2024-10-11,European League B in Czechia,Czechia vs Albania,2.09,3.46,4.31
2024-10-11,European League B in Iceland,Iceland vs Wales,4.36,3.43,2.09
2024-10-11,European League B in Turkey,Turkey vs Montenegro,1.52,4.43,8.68
2024-10-11,European League B in Ukraine,Ukraine vs Georgia,2.09,3.46,4.31
2024-10-11,European League C in Estonia,Estonia vs Azerbaijan,4.36,3.43,2.09
2024-10-11,European League C in Slovakia,Slovakia vs Sweden,2.66,3.21,3.2
2024-10-11,CONCACAF League A in Guadeloupe,Guadeloupe vs Martinique,4.36,3.43,2.09
2024-10-11,CONCACAF League A in Guyana,Guyana vs Guatemala,6.4,4.24,1.64
2024-10-11,CONCACAF League A in Suriname,Suriname vs Costa Rica,9.88,5.57,1.39
2024-10-11,CONCACAF League B in Aruba,Aruba vs Haiti,24.38,16.25,1.11
2024-10-11,CONCACAF League B in Grenada,Grenada vs Curaçao,8.77,4.33,1.53
2024-10-11,CONCACAF League B in Sint Maarten,Sint Maarten vs Puerto Rico,8.77,4.33,1.53
2024-10-11,CONCACAF League B in Saint Martin,Saint Martin vs Saint Lucia,4.36,3.43,2.09
2024-10-12,European League A in Croatia,Croatia vs Scotland,1.81,3.86,5.35
2024-10-12,European League A in Poland,Poland vs Portugal,6.4,4.24,1.64
2024-10-12,European League A in Serbia,Serbia vs Switzerland,4.36,3.43,2.09
2024-10-12,European League A in Spain,Spain vs Denmark,1.4,5.36,10.05
2024-10-12,European League C in Belarus,Belarus vs Northern Ireland,3.39,3.53,2.37
2024-10-12,European League C in Bulgaria,Bulgaria vs Luxembourg,3.22,3.19,2.66
2024-10-12,European League C in Cyprus,Cyprus vs Romania,12.57,5.89,1.33
2024-10-12,European League C in Lithuania,Lithuania vs Kosovo,4.36,3.43,2.09
2024-10-12,Friendly tournament in Vietnam,India vs Lebanon,4.36,3.43,2.09
2024-10-12,Friendly in the United States,United States vs Panama,2.66,3.21,3.2
2024-10-12,CONCACAF League B in Antigua & Barbuda,Antigua and Barbuda vs Dominican Republic,6.4,4.24,1.64
2024-10-12,CONCACAF League B in Dominica,Dominica vs Bermuda,4.36,3.43,2.09
2024-10-12,CONCACAF League C in Anguilla,Anguilla vs Belize,25.0,5.33,1.29
2024-10-12,CONCACAF League C in the Br Virgin Islands,British Virgin Islands vs Saint Kitts and Nevis,25.0,5.33,1.29
2024-10-12,CONCACAF League C in the US Virgin Isl,US Virgin Islands vs Barbados,9.88,5.57,1.39
2024-10-13,European League B in Austria,Austria vs Norway,2.09,3.46,4.31
2024-10-13,European League B in Finland,Finland vs England,9.88,5.57,1.39
2024-10-13,European League B in Greece,Greece vs Ireland,2.09,3.46,4.31
2024-10-13,European League B in Kazakhstan,Kazakhstan vs Slovenia,9.88,5.57,1.39
2024-10-13,European League C in Armenia,Armenia vs North Macedonia,3.39,3.53,2.37
2024-10-13,European League C in the Faroe Islands,Faroe Islands vs Latvia,3.39,3.53,2.37
