game_id,date,location,team,opp,score,opp_score,old_elo,opp_elo,elo_diff,result_class
2024-06-08Cayman IslandsAntigua and Barbuda,2024-06-08,World Cup qualifier in the Cayman Islands,Cayman Islands,Antigua and Barbuda,1,0,799,1014,-215,T1
2024-06-08Cayman IslandsAntigua and Barbuda,2024-06-08,World Cup qualifier in the Cayman Islands,Antigua and Barbuda,Cayman Islands,0,1,1014,799,215,T2
2024-06-08DenmarkNorway,2024-06-08,Friendly in Denmark,Denmark,Norway,3,1,1826,1742,84,T1
2024-06-08DenmarkNorway,2024-06-08,Friendly in Denmark,Norway,Denmark,1,3,1742,1826,-84,T2
2024-06-08EstoniaFaroe Islands,2024-06-08,Baltic Cup in Estonia,Faroe Islands,Estonia,1,4,1268,1354,-86,T2
2024-06-08EstoniaFaroe Islands,2024-06-08,Baltic Cup in Estonia,Estonia,Faroe Islands,4,1,1354,1268,86,T1
2024-06-08GambiaSeychelles,2024-06-08,World Cup qualifier in Morocco,Seychelles,Gambia,1,5,855,1357,-502,T2
2024-06-08GambiaSeychelles,2024-06-08,World Cup qualifier in Morocco,Gambia,Seychelles,5,1,1357,855,502,T1
2024-06-08HungaryIsrael,2024-06-08,Friendly in Hungary,Israel,Hungary,0,3,1558,1828,-270,T2
2024-06-08HungaryIsrael,2024-06-08,Friendly in Hungary,Hungary,Israel,3,0,1828,1558,270,T1
2024-06-08LatviaLithuania,2024-06-08,Baltic Cup in Latvia,Latvia,Lithuania,0,2,1341,1331,10,T2
2024-06-08LatviaLithuania,2024-06-08,Baltic Cup in Latvia,Lithuania,Latvia,2,0,1331,1341,-10,T1
2024-06-08MoldovaCyprus,2024-06-08,Friendly in Moldova,Moldova,Cyprus,3,2,1347,1318,29,T1
2024-06-08MoldovaCyprus,2024-06-08,Friendly in Moldova,Cyprus,Moldova,2,3,1318,1347,-29,T2
2024-06-08PortugalCroatia,2024-06-08,Friendly in Portugal,Portugal,Croatia,1,2,2015,1955,60,T2
2024-06-08PortugalCroatia,2024-06-08,Friendly in Portugal,Croatia,Portugal,2,1,1955,2015,-60,T1
2024-06-08SloveniaBulgaria,2024-06-08,Friendly in Slovenia,Bulgaria,Slovenia,1,1,1480,1741,-261,D
2024-06-08SloveniaBulgaria,2024-06-08,Friendly in Slovenia,Slovenia,Bulgaria,1,1,1741,1480,261,D
2024-06-08SpainNorthern Ireland,2024-06-08,Friendly in Spain,Northern Ireland,Spain,1,5,1516,2019,-503,T2
2024-06-08SpainNorthern Ireland,2024-06-08,Friendly in Spain,Spain,Northern Ireland,5,1,2019,1516,503,T1
2024-06-08SwedenSerbia,2024-06-08,Friendly in Sweden,Sweden,Serbia,0,3,1693,1783,-90,T2
2024-06-08SwedenSerbia,2024-06-08,Friendly in Sweden,Serbia,Sweden,3,0,1783,1693,90,T1
